310,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700
2.083,0.721,0.386,0.227,0.147,0.105,0.077,0.064,0.068,0.076,0.092,0.236,0.304,0.344,0.455,0.586
0.979,0.793,0.704,0.63,0.567,0.514,0.469,0.429,0.395,0.365,0.338,0.314,0.293,0.274,0.257,0.242
2.373,0.895,0.512,0.32,0.219,0.162,0.123,0.103,0.105,0.112,0.128,0.288,0.36,0.401,0.517,0.688
