400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700
0,5.45e-05,0.000109,0.0001635,0.000218,0.00023775,0.0002575,0.00027725,0.000297,0.00031125,0.0003255,0.00033975,0.000354,0.000539,0.000724,0.000909,0.001094,0.001456,0.001818,0.00218,0.002542,0.00294,0.003338,0.003736,0.004134,0.00443375,0.0047335,0.00503325,0.005333,0.00540325,0.0054735,0.00554375,0.005614,0.00535975,0.0051055,0.00485125,0.004597,0.00423975,0.0038825,0.00352525,0.003168,0.00289525,0.0026225,0.00234975,0.002077,0.00202075,0.0019645,0.00190825,0.001852,0.0017495,0.001647,0.0015445,0.001442,0.0012775,0.001113,0.0009485,0.000784,0.000668,0.000552,0.000436,0.00032,0.00025625,0.0001925,0.00012875,6.5e-05,5.05e-05,3.6e-05,2.15e-05,7e-06,5.25e-06,3.5e-06,1.75e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01266175,0.0253235,0.03798525,0.050647,0.08319775,0.1157485,0.14829925,0.18085,0.2310925,0.281335,0.3315775,0.38182,0.43222,0.48262,0.53302,0.58342,0.6234425,0.663465,0.7034875,0.74351,0.7706825,0.797855,0.8250275,0.8522,0.8713675,0.890535,0.9097025,0.92887,0.939575,0.95028,0.960985,0.97169,0.9787675,0.985845,0.9929225,1,0.998605,0.99721,0.995815,0.99442,0.99014,0.98586,0.98158,0.9773,0.96772,0.95814,0.94856,0.93898,0.926765,0.91455,0.902335,0.89012,0.8752425,0.860365,0.8454875,0.83061,0.81744,0.80427,0.7911,0.77793,0.7633875,0.748845,0.7343025,0.71976,0.70796,0.69616,0.68436,0.67256,0.658975,0.64539,0.631805,0.61822,0.6082475,0.598275,0.5883025,0.57833,0.56547,0.55261,0.53975,0.52689,0.5139575,0.501025,0.4880925,0.47516,0.4629675,0.450775,0.4385825,0.42639,0.4147925,0.403195,0.3915975,0.38,0.36916,0.35832,0.34748,0.33664,0.326055,0.31547,0.304885,0.2943,0.285395,0.27649,0.267585,0.25868,0.250705,0.24273,0.234755,0.22678,0.2189575,0.211135,0.2033125,0.19549,0.1871325,0.178775,0.1704175,0.16206,0.1532425,0.144425,0.1356075,0.12679,0.1184065,0.110023,0.1016395,0.093256,0.08604875,0.0788415,0.07163425,0.064427,0.05895075,0.0534745,0.04799825,0.042522,0.03886825,0.0352145,0.03156075,0.027907,0.0245135,0.02112,0.0177265,0.014333
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149025,0.0029805,0.00447075,0.005961,0.00961525,0.0132695,0.01692375,0.020578,0.02592275,0.0312675,0.03661225,0.041957,0.04828375,0.0546105,0.06093725,0.067264,0.07448175,0.0816995,0.08891725,0.096135,0.10302375,0.1099125,0.11680125,0.12369,0.1307775,0.137865,0.1449525,0.15204,0.1595475,0.167055,0.1745625,0.18207,0.191585,0.2011,0.210615,0.22013,0.2312075,0.242285,0.2533625,0.26444,0.2769525,0.289465,0.3019775,0.31449,0.32691,0.33933,0.35175,0.36417,0.3771425,0.390115,0.4030875,0.41606,0.4276925,0.439325,0.4509575,0.46259,0.47207,0.48155,0.49103,0.50051,0.50619,0.51187,0.51755,0.52323,0.52694,0.53065,0.53436,0.53807,0.5391675,0.540265,0.5413625,0.54246,0.54151,0.54056,0.53961,0.53866,0.5366875,0.534715,0.5327425,0.53077,0.5288525,0.526935,0.5250175,0.5231,0.519465,0.51583,0.512195,0.50856,0.5027175,0.496875,0.4910325,0.48519,0.47784,0.47049,0.46314,0.45579,0.447345,0.4389,0.430455,0.42201,0.4133075,0.404605,0.3959025,0.3872,0.3781625,0.369125,0.3600875,0.35105,0.3428475,0.334645,0.3264425,0.31824,0.3097475,0.301255,0.2927625,0.28427,0.27536,0.26645,0.25754,0.24863,0.239765,0.2309,0.222035,0.21317,0.20425,0.19533,0.18641,0.17749,0.16882,0.16015,0.15148,0.14281,0.135205,0.1276,0.119995,0.11239,0.10602675,0.0996635,0.09330025,0.086937,0.081507,0.076077,0.070647,0.065217,0.06097775,0.0567385,0.05249925,0.04826,0.045001,0.041742,0.038483,0.035224,0.0330445,0.030865,0.0286855,0.026506,0.02513975,0.0237735,0.02240725,0.021041,0.02002175,0.0190025,0.01798325,0.016964,0.0163735,0.015783,0.0151925,0.014602,0.0138765,0.013151,0.0124255,0.0117,0.01091575,0.0101315,0.00934725,0.008563,0.00788725,0.0072115,0.00653575,0.00586,0.005237,0.004614,0.003991,0.003368,0.0029245,0.002481,0.0020375,0.001594,0.001374,0.001154,0.000934,0.000714,0.00060025,0.0004865,0.00037275,0.000259,0.000222,0.000185,0.000148,0.000111,9.625e-05,8.15e-05,6.675e-05,5.2e-05,4.8e-05,4.4e-05,4e-05,3.6e-05,3.25e-05,2.9e-05,2.55e-05,2.2e-05,4.1e-05,6e-05,7.9e-05,9.8e-05,9.675e-05,9.55e-05,9.425e-05,9.3e-05,0.0001135,0.000134,0.0001545,0.000175,0.000175,0.000175,0.000175,0.000175,0.0001955,0.000216,0.0002365,0.000257,0.00023575,0.0002145,0.00019325,0.000172,0.000171,0.00017,0.000169,0.000168
0,0.00122925,0.0024585,0.00368775,0.004917,0.00604225,0.0071675,0.00829275,0.009418,0.01491575,0.0204135,0.02591125,0.031409,0.042955,0.054501,0.066047,0.077593,0.09487225,0.1121515,0.12943075,0.14671,0.16498,0.18325,0.20152,0.21979,0.2393925,0.258995,0.2785975,0.2982,0.3148675,0.331535,0.3482025,0.36487,0.3763925,0.387915,0.3994375,0.41096,0.41786,0.42476,0.43166,0.43856,0.44594,0.45332,0.4607,0.46808,0.47347,0.47886,0.48425,0.48964,0.49435,0.49906,0.50377,0.50848,0.511405,0.51433,0.517255,0.52018,0.51899,0.5178,0.51661,0.51542,0.5134625,0.511505,0.5095475,0.50759,0.5052125,0.502835,0.5004575,0.49808,0.49373,0.48938,0.48503,0.48068,0.4749625,0.469245,0.4635275,0.45781,0.45244,0.44707,0.4417,0.43633,0.42809,0.41985,0.41161,0.40337,0.3945075,0.385645,0.3767825,0.36792,0.357235,0.34655,0.335865,0.32518,0.31458,0.30398,0.29338,0.28278,0.27119,0.2596,0.24801,0.23642,0.2251475,0.213875,0.2026025,0.19133,0.17885,0.16637,0.15389,0.14141,0.129615,0.11782,0.106025,0.09423,0.0843115,0.074393,0.0644745,0.054556,0.047635,0.040714,0.033793,0.026872,0.02233875,0.0178055,0.01327225,0.008739,0.0065995,0.00446,0.0023205,0.000181,0.00013575,9.05e-05,4.525e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
