400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.038,0.04,0.044,0.048,0.052,0.056,0.06,0.064,0.068,0.072,0.076,0.08,0.086,0.092,0.098,0.104,0.11,0.116,0.122,0.128,0.134,0.14,0.141,0.142,0.143,0.144,0.145,0.146,0.147,0.148,0.149,0.15,0.149,0.148,0.147,0.146,0.145,0.144,0.143,0.142,0.141,0.14,0.143,0.146,0.149,0.152,0.155,0.158,0.161,0.164,0.167,0.17,0.183,0.196,0.209,0.222,0.235,0.248,0.261,0.274,0.287,0.3,0.315,0.33,0.345,0.36,0.375,0.39,0.405,0.42,0.435,0.45,0.458,0.466,0.474,0.482,0.49,0.498,0.506,0.514,0.522,0.53,0.533,0.536,0.539,0.542,0.545,0.548,0.551,0.554,0.557,0.56,0.557,0.554,0.551,0.548,0.545,0.542,0.539,0.536,0.533,0.53,0.523,0.516,0.509,0.502,0.495,0.488,0.481,0.474,0.467,0.46,0.452,0.444,0.436,0.428,0.42,0.412,0.404,0.396,0.388,0.38,0.375,0.37,0.365,0.36,0.355,0.35,0.345,0.34,0.335,0.33,0.32,0.31,0.3,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.226,0.222,0.218,0.214,0.21,0.206,0.202,0.198,0.194,0.19,0.186,0.182,0.178,0.174,0.17,0.166,0.162,0.158,0.154,0.15,0.145,0.14,0.135,0.13,0.125,0.12,0.115,0.11,0.105,0.1,0.093,0.086,0.079,0.072,0.065,0.058,0.051,0.044,0.037,0.03,0.027,0.024,0.021,0.018,0.015,0.012,0.009,0.006,0.003,0
0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.012,0.014,0.016,0.018,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.038,0.04,0.042,0.044,0.046,0.048,0.05,0.053,0.056,0.059,0.062,0.065,0.068,0.071,0.074,0.077,0.08,0.081,0.082,0.083,0.084,0.085,0.086,0.087,0.088,0.089,0.09,0.094,0.098,0.102,0.106,0.11,0.114,0.118,0.122,0.126,0.13,0.146,0.162,0.178,0.194,0.21,0.226,0.242,0.258,0.274,0.29,0.315,0.34,0.365,0.39,0.415,0.44,0.465,0.49,0.515,0.54,0.556,0.572,0.588,0.604,0.62,0.636,0.652,0.668,0.684,0.7,0.724,0.748,0.772,0.796,0.82,0.844,0.868,0.892,0.916,0.94,0.947,0.954,0.961,0.968,0.975,0.982,0.989,0.996,1.003,1.01,1.017,1.024,1.031,1.038,1.045,1.052,1.059,1.066,1.073,1.08,1.078,1.076,1.074,1.072,1.07,1.068,1.066,1.064,1.062,1.06,1.055,1.05,1.045,1.04,1.035,1.03,1.025,1.02,1.015,1.01,1.009,1.008,1.007,1.006,1.005,1.004,1.003,1.002,1.001,1,0.987,0.974,0.961,0.948,0.935,0.922,0.909,0.896,0.883,0.87,0.858,0.846,0.834,0.822,0.81,0.798,0.786,0.774,0.762,0.75,0.733,0.716,0.699,0.682,0.665,0.648,0.631,0.614,0.597,0.58,0.564,0.548,0.532,0.516,0.5,0.484,0.468,0.452,0.436,0.42,0.402,0.384,0.366,0.348,0.33,0.312,0.294,0.276,0.258,0.24,0.231,0.222,0.213,0.204,0.195,0.186,0.177,0.168,0.159,0.15,0.143,0.136,0.129,0.122,0.115,0.108,0.101,0.094,0.087,0.08,0.077,0.074,0.071,0.068,0.065,0.062,0.059,0.056,0.053,0.05,0.048,0.046,0.044,0.042,0.04,0.038,0.036,0.034,0.032,0.03,0.029,0.028,0.027,0.026,0.025,0.024,0.023,0.022,0.021,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.019,0.018,0.017,0.016,0.015,0.014,0.013,0.012,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.008,0.007,0.006,0.005,0.004,0.003,0.002,0.001,0
0.01,0.018,0.026,0.034,0.042,0.05,0.058,0.066,0.074,0.082,0.09,0.123,0.156,0.189,0.222,0.255,0.288,0.321,0.354,0.387,0.42,0.443,0.466,0.489,0.512,0.535,0.558,0.581,0.604,0.627,0.65,0.672,0.694,0.716,0.738,0.76,0.782,0.804,0.826,0.848,0.87,0.879,0.888,0.897,0.906,0.915,0.924,0.933,0.942,0.951,0.96,0.965,0.97,0.975,0.98,0.985,0.99,0.995,1,1.005,1.01,1.006,1.002,0.998,0.994,0.99,0.986,0.982,0.978,0.974,0.97,0.963,0.956,0.949,0.942,0.935,0.928,0.921,0.914,0.907,0.9,0.891,0.882,0.873,0.864,0.855,0.846,0.837,0.828,0.819,0.81,0.79,0.77,0.75,0.73,0.71,0.69,0.67,0.65,0.63,0.61,0.592,0.574,0.556,0.538,0.52,0.502,0.484,0.466,0.448,0.43,0.412,0.394,0.376,0.358,0.34,0.322,0.304,0.286,0.268,0.25,0.239,0.228,0.217,0.206,0.195,0.184,0.173,0.162,0.151,0.14,0.136,0.132,0.128,0.124,0.12,0.116,0.112,0.108,0.104,0.1,0.097,0.094,0.091,0.088,0.085,0.082,0.079,0.076,0.073,0.07,0.068,0.066,0.064,0.062,0.06,0.058,0.056,0.054,0.052,0.05,0.049,0.048,0.047,0.046,0.045,0.044,0.043,0.042,0.041,0.04,0.039,0.038,0.037,0.036,0.035,0.034,0.033,0.032,0.031,0.03,0.029,0.028,0.027,0.026,0.025,0.024,0.023,0.022,0.021,0.02,0.019,0.018,0.017,0.016,0.015,0.014,0.013,0.012,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.008,0.007,0.006,0.005,0.004,0.003,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
